date_time,capacity,state
1703609237,26551,Discharging
1703426358,11537,Discharging
1703423831,16758,Discharging
1703762005,20030,Discharging
1704011097,11674,Charging
1702985488,4925,Discharging
1703927375,2690,Charging
1703338700,4822,Charging
1702880852,7946,Discharging
1703776494,6452,Discharging
1703918322,6692,Discharging
1703747592,21227,Discharging
1703846496,9565,Discharging
1703431314,2394,Charging
1703251985,8083,Discharging
1703086960,15629,Charging
1703918808,6202,Discharging
1703652512,6110,Discharging
1703433819,4606,Charging
1703658210,6145,Charging
1703849952,5723,Discharging
1703927635,3614,Discharging
1703786309,5073,Charging
1703597125,17693,Discharging
1703846391,10032,Discharging
1703597985,19825,Discharging
1703222936,5084,Charging
1703835239,21261,Discharging
1703927377,2690,Discharging
1703856490,3990,Charging
1703767495,7262,Discharging
1703342051,18445,Discharging
1703052293,24499,Charging
1703176015,26551,Charging
1702893068,4891,Discharging
1703934016,2599,Charging
1704042810,26551,Discharging
1702981111,15766,Discharging
1702883068,3967,Charging
1702870875,25958,Discharging
1703079314,20611,Discharging
1703176145,26368,Discharging
1703691061,5062,Charging
1703698912,14216,Discharging
1703166170,5632,Charging
1703431763,4115,Discharging
1703342053,18445,Discharging
1702987173,3283,Charging
1703597291,17020,Charging
1702986854,4628,Discharging
1703425700,11833,Discharging
1703653624,3876,Discharging
1703781801,23131,Discharging
1703921669,12586,Discharging
1704023395,9040,Discharging
1703655233,1858,Discharging
1703606538,25935,Charging
1703250170,11480,Discharging
1703613507,14216,Discharging
1702839900,26551,Charging
1703135415,4822,Charging
1702874812,14147,Discharging
1703136440,8938,Charging
1703655358,1448,Discharging
1703045559,9644,Discharging
1703767619,6874,Discharging
1704015609,16918,Charging
1703839900,13315,Discharging
1703912051,19904,Discharging
1703597996,19768,Charging
1703927707,3865,Discharging
1703938800,17841,Charging
1703337747,9086,Discharging
1703918841,6156,Charging
1703053569,23951,Discharging
1703519390,2497,Discharging
1703927156,3420,Discharging
1703958585,26551,Charging
1703737689,11172,Discharging
1703918762,6088,Charging
1704032750,5016,Charging
1703428300,6327,Discharging
1703654276,3591,Discharging
